started_at,runtime
2017-09-26 05:30:56.492431,908.0
2017-09-19 07:45:32.425735,404.0
2017-08-07 06:55:25.388823,80.0
2017-08-01 07:46:19.068639,212.0
2017-07-06 15:35:55.023827,736.0
2017-07-13 03:06:00.289776,1114.0
2017-07-06 06:00:55.536764,89.0
2017-07-29 18:05:34.682136,855.0
2017-07-19 04:20:43.277028,353.0
2017-09-04 00:15:40.530587,757.0
2017-08-15 19:15:29.446621,52.0
2017-07-20 19:11:23.805768,3357.0
2017-09-21 05:35:42.727060,849.0
2017-07-20 20:35:38.951994,72.0
2017-08-09 14:20:37.854148,409.0
2017-08-15 19:30:48.303080,1434.0
2017-07-11 23:06:02.564519,1029.0
2017-08-14 01:12:13.102633,438.0
2017-07-16 16:05:37.491133,911.0
2017-07-06 12:50:37.661957,154.0
2017-07-07 23:06:21.051719,866.0
2017-07-10 19:15:47.194266,491.0
2017-07-24 07:50:36.509651,214.0
2017-07-24 23:21:19.417192,457.0
2017-07-25 11:17:51.530437,1329.0
2017-08-11 04:05:49.547255,222.0
2017-08-28 22:20:49.181583,213.0
2017-08-15 23:05:39.368744,466.0
2017-09-20 21:10:34.286829,374.0
2017-07-07 06:10:35.327046,69.0
2017-08-31 15:05:43.402247,202.0
2017-07-13 22:30:30.268477,171.0
2017-08-10 08:45:30.466377,246.0
2017-07-26 16:25:33.633493,2802.0
2017-07-12 07:35:38.926951,387.0
2017-08-01 08:07:00.411313,751.0
2017-07-06 21:05:47.991906,759.0
2017-07-27 06:20:54.842132,1079.0
2017-07-11 07:10:57.502065,261.0
2017-08-11 09:35:35.501687,146.0
2017-09-27 18:20:55.841039,799.0
2017-09-04 18:55:30.037219,651.0
2017-09-12 08:35:38.042917,173.0
2017-08-31 19:15:48.638516,69.0
2017-09-06 13:25:34.560990,11.0
2017-09-21 09:10:37.385968,298.0
2017-09-19 20:25:39.402363,789.0
2017-07-25 12:35:43.806976,923.0
2017-07-10 07:51:13.379366,948.0
2017-09-09 01:15:23.188735,92.0
2017-07-01 08:10:46.862692,725.0
2017-09-25 07:10:44.160233,282.0
2017-09-12 12:40:22.041110,63.0
2017-09-18 15:15:29.393432,69.0
2017-07-05 21:00:43.610987,560.0
2017-07-04 05:30:29.128352,48.0
2017-08-09 09:00:44.356441,177.0
2017-07-19 21:35:28.660852,382.0
2017-07-26 11:55:38.902041,3145.0
2017-09-19 08:05:32.127593,795.0
2017-08-05 05:50:27.641661,192.0
2017-09-12 08:40:34.794753,625.0
2017-09-28 15:30:40.226137,143.0
2017-09-02 19:15:30.865961,258.0
2017-07-19 12:40:57.482896,796.0
2017-08-25 15:15:26.522352,322.0
2017-07-03 05:00:50.000082,1129.0
2017-07-14 09:05:47.824220,175.0
2017-08-07 03:05:38.721246,95.0
2017-09-01 08:45:28.328685,216.0
2017-07-04 07:05:40.285435,105.0
2017-07-19 07:35:37.542618,509.0
2017-09-29 19:55:46.509794,50.0
2017-08-02 21:45:50.407441,363.0
2017-07-18 01:50:50.700107,982.0
2017-07-01 17:56:21.317316,229.0
2017-07-01 14:40:31.517476,64.0
2017-09-21 15:35:48.430427,996.0
2017-07-24 06:55:42.134741,265.0
2017-08-18 06:40:51.485177,150.0
2017-07-25 07:45:35.782316,425.0
2017-08-30 09:05:26.678370,78.0
2017-09-05 13:35:34.731765,906.0
2017-07-07 21:05:41.228330,1002.0
2017-07-27 11:06:19.482956,769.0
2017-08-28 23:05:45.002440,227.0
2017-07-20 16:41:03.627327,558.0
2017-08-22 09:25:35.022280,224.0
2017-07-24 19:05:38.933790,113.0
2017-09-18 13:56:04.035657,372.0
2017-07-07 05:15:33.913929,429.0
2017-07-05 13:05:56.207010,595.0
2017-08-04 15:10:56.397757,987.0
2017-07-23 17:41:03.251729,793.0
2017-09-29 19:05:59.656753,1170.0
2017-07-27 13:10:43.762100,72.0
2017-07-06 03:40:35.462743,55.0
2017-09-12 16:20:54.385183,53.0
2017-08-25 04:35:27.956582,138.0
